Date,Open,High,Low,Close,Adj Close,Volume
2022-12-12,24.480000,24.480000,24.030001,24.209999,23.819849,77900
2022-12-13,25.110001,26.790001,25.040001,26.350000,25.925364,275400
2022-12-14,26.290001,26.900000,25.629999,25.870001,25.453098,184800
2022-12-15,25.639999,26.049999,25.049999,25.820000,25.403904,153600
2022-12-16,25.780001,27.840000,25.760000,27.610001,27.165060,340700
2022-12-19,27.510000,27.510000,26.480000,26.650000,26.220528,157900
2022-12-20,26.490000,27.290001,26.150000,26.959999,26.525534,176700
2022-12-21,26.950001,27.680000,26.950001,27.170000,26.732149,134100
2022-12-22,26.950001,27.299999,26.430000,27.299999,26.860052,89400
2022-12-23,27.000000,27.709999,27.000000,27.469999,27.027313,87700
2022-12-27,27.510000,27.510000,26.850000,27.139999,26.702633,52900
2022-12-28,27.190001,27.719999,27.100000,27.200001,26.761665,135800
2022-12-29,27.180000,27.700001,27.010000,27.629999,27.184734,75700
2022-12-30,27.540001,27.889999,27.350000,27.540001,27.096186,85900
2023-01-03,27.600000,28.620001,27.600000,28.559999,28.099749,161600
2023-01-04,28.719999,29.330000,28.559999,29.129999,28.660561,82700
2023-01-05,29.070000,29.150000,28.350000,28.940001,28.473625,139000
2023-01-06,29.260000,30.299999,29.080000,30.030001,29.546059,67400
2023-01-09,30.090000,30.320000,29.250000,29.270000,28.798309,82500
2023-01-10,29.000000,30.290001,29.000000,30.230000,29.742836,62800
2023-01-11,30.330000,30.750000,30.059999,30.360001,29.870741,58100
2023-01-12,30.719999,30.719999,30.059999,30.209999,29.723158,68600
2023-01-13,30.080000,30.440001,29.799999,30.270000,29.782192,74700
2023-01-17,30.330000,31.240000,30.330000,30.559999,30.067518,77600
2023-01-18,30.760000,30.900000,30.059999,30.110001,29.624769,54000
2023-01-19,29.760000,30.480000,29.510000,30.370001,29.880579,52400
2023-01-20,30.610001,30.770000,30.110001,30.570000,30.077356,63500
2023-01-23,30.719999,31.230000,30.370001,30.650000,30.156067,68100
2023-01-24,31.730000,31.730000,30.709999,30.850000,30.352846,98700
2023-01-25,30.700001,30.850000,30.340000,30.850000,30.352846,47700
2023-01-26,31.000000,31.530001,30.700001,31.490000,30.982533,48000
2023-01-27,31.410000,31.670000,31.190001,31.290001,30.785753,39800
2023-01-30,31.139999,31.350000,30.680000,31.100000,30.598816,63400
2023-01-31,31.219999,32.459999,31.219999,32.419998,31.897539,89300
2023-02-01,32.490002,32.869999,31.850000,32.410000,31.887707,76300
2023-02-02,32.779999,33.090000,32.369999,32.700001,32.173031,63600
2023-02-03,32.340000,33.110001,32.099998,32.660000,32.245106,106400
2023-02-06,32.669998,32.980000,32.169998,32.490002,32.077263,124000
2023-02-07,32.389999,32.389999,31.709999,32.200001,31.790947,69800
2023-02-08,32.130001,32.130001,31.270000,31.400000,31.001110,67800
2023-02-09,31.680000,31.809999,30.650000,30.680000,30.290257,73800
2023-02-10,30.760000,31.709999,30.620001,31.620001,31.218315,74800
2023-02-13,31.660000,32.529999,31.549999,32.500000,32.087139,82800
2023-02-14,32.380001,32.980000,32.310001,32.730000,32.314213,78000
2023-02-15,32.770000,34.320000,32.770000,34.290001,33.854401,120900
2023-02-16,33.849998,34.180000,33.459999,33.849998,33.419987,92200
2023-02-17,33.980000,34.230000,33.389999,33.480000,33.054688,90600
2023-02-21,33.060001,33.709999,32.509998,32.689999,32.274719,131300
2023-02-22,32.939999,33.230000,32.029999,33.009998,32.590656,85600
2023-02-23,33.009998,35.990002,32.799999,35.459999,35.009537,258800
2023-02-24,35.330002,35.330002,33.439999,34.020000,33.587826,166900
2023-02-27,34.400002,34.759998,33.799999,34.020000,33.587826,101300
2023-02-28,33.980000,34.340000,33.740002,33.919998,33.489094,114700
2023-03-01,33.919998,34.509998,32.910000,33.959999,33.528587,124000
2023-03-02,33.720001,34.130001,33.470001,33.880001,33.449608,91700
2023-03-03,34.000000,34.139999,33.630001,33.980000,33.548336,60200
2023-03-06,33.980000,34.029999,33.070000,33.349998,32.926334,104300
2023-03-07,33.220001,33.849998,33.110001,33.770000,33.341003,89900
2023-03-08,33.740002,33.869999,32.599998,33.000000,32.580784,69500
2023-03-09,32.959999,33.270000,32.340000,32.560001,32.146378,66300
2023-03-10,32.279999,32.380001,31.200001,32.119999,31.711962,168000
2023-03-13,31.730000,32.070000,31.030001,31.400000,31.001110,103400
2023-03-14,32.180000,32.759998,31.559999,31.889999,31.484884,79600
2023-03-15,31.299999,31.840000,31.020000,31.820000,31.415773,119200
2023-03-16,31.389999,32.560001,31.030001,32.209999,31.800817,78600
2023-03-17,32.130001,32.320000,31.340000,31.650000,31.247932,140200
2023-03-20,31.840000,32.200001,31.340000,31.580000,31.178822,84700
2023-03-21,31.990000,32.590000,31.799999,31.930000,31.524378,72600
2023-03-22,31.850000,32.160000,31.400000,31.450001,31.050476,79100
2023-03-23,31.620001,31.860001,30.370001,30.610001,30.221146,88200
2023-03-24,30.400000,30.870001,29.900000,30.850000,30.458097,113100
2023-03-27,31.150000,31.270000,30.650000,31.100000,30.704922,131800
2023-03-28,31.080000,31.400000,30.400000,30.650000,30.260637,241700
2023-03-29,30.940001,31.080000,29.719999,29.730000,29.352324,129700
2023-03-30,30.000000,30.299999,29.340000,29.660000,29.283215,138000
2023-03-31,29.940001,30.540001,29.840000,30.520000,30.132290,130400
2023-04-03,30.480000,30.889999,29.900000,30.139999,29.757114,104400
2023-04-04,30.240000,30.240000,28.780001,29.090000,28.720455,84900
2023-04-05,29.090000,29.299999,28.290001,28.440001,28.078712,110500
2023-04-06,28.420000,28.680000,27.900000,28.590000,28.226805,128100
2023-04-10,28.570000,29.049999,28.510000,28.730000,28.365028,68900
2023-04-11,28.820000,29.320000,28.650000,28.920000,28.552614,57900
2023-04-12,29.209999,29.209999,28.620001,28.660000,28.295919,54200
2023-04-13,28.730000,28.990000,28.590000,28.910000,28.542742,57900
2023-04-14,28.950001,29.200001,28.120001,28.180000,27.822016,60900
2023-04-17,28.250000,28.510000,28.080000,28.440001,28.078712,102800
2023-04-18,28.410000,28.969999,28.410000,28.620001,28.256426,71700
2023-04-19,28.530001,28.570000,28.160000,28.290001,27.930618,48000
2023-04-20,28.180000,28.590000,28.180000,28.440001,28.078712,41400
2023-04-21,28.459999,29.049999,28.459999,28.889999,28.522993,89700
2023-04-24,28.900000,29.049999,28.660000,28.750000,28.384775,32000
2023-04-25,28.629999,28.629999,28.049999,28.110001,27.752907,40700
2023-04-26,28.040001,28.230000,27.510000,27.620001,27.269131,42300
2023-04-27,27.700001,28.309999,27.700001,28.170000,27.812143,50600
2023-04-28,28.209999,28.770000,28.129999,28.709999,28.345282,58300
2023-05-01,28.799999,29.740000,28.799999,29.690001,29.312832,59000
2023-05-02,29.389999,29.389999,28.469999,28.959999,28.592108,132900
2023-05-03,29.000000,29.360001,27.830000,28.090000,27.733158,138700
2023-05-04,29.170000,29.170000,26.120001,26.740000,26.400307,187900
2023-05-05,26.930000,27.709999,26.590000,27.590000,27.355108,146900
2023-05-08,27.500000,27.840000,27.000000,27.040001,26.809792,41000
2023-05-09,27.020000,27.520000,26.879999,27.500000,27.265875,49200
2023-05-10,27.780001,28.400000,27.389999,28.260000,28.019405,85600
2023-05-11,27.940001,28.260000,27.610001,28.000000,27.761618,46200
2023-05-12,28.059999,28.590000,27.920000,28.150000,27.910339,62100
2023-05-15,28.200001,28.410000,28.020000,28.150000,27.910339,94500
2023-05-16,28.100000,28.100000,27.230000,27.230000,26.998173,100300
2023-05-17,27.330000,27.430000,26.629999,27.219999,26.988258,103800
2023-05-18,27.190001,27.850000,27.190001,27.820000,27.583151,57000
2023-05-19,28.040001,28.309999,27.270000,27.299999,27.067575,45900
2023-05-22,27.430000,27.780001,27.290001,27.639999,27.404682,41100
2023-05-23,27.559999,27.990000,27.370001,27.850000,27.612894,72400
2023-05-24,27.780001,27.780001,27.330000,27.620001,27.384855,69100
2023-05-25,27.490000,27.639999,26.420000,26.490000,26.264473,44400
2023-05-26,26.570000,27.020000,26.520000,26.820000,26.591665,49200
2023-05-30,26.750000,26.930000,26.530001,26.540001,26.314049,51300
2023-05-31,26.549999,26.549999,25.860001,26.160000,25.937283,102600
